fragment_smiles,count
[14*]c1nc([14*])c(C)o1,12
[7*]CCO,12
[8*]C(C)(C)C,12
[4*]CCC[8*],12
[1*]C(=O)CCC[7*],12
[1*]C(=O)[C@H](CCCN)N[5*],12
[3*]O[C@H]1CC[C@H](O)[C@H](C)O1,12
[13*][C@H]1CC[C@H](O)[C@H](C)O1,12
[6*]C(=O)C[7*],12
[7*]CCCCCCCC,12
[14*]c1ccc[nH]1,12
[1*]C(=O)[C@H](N[5*])C(C)C,12
[5*]N[C@@H](CCC(N)=O)C(=O)O,12
[3*]OC([8*])CC(=O)O,12
[7*]CCCCCC,12
[1*]C(=O)[C@@H]([4*])C[8*],12
[16*]c1c(O)cc(C)oc1=O,12
[3*]O[C@H]1CC[C@H](O[3*])[C@H](C)O1,12
[3*]O[C@H]1CC[C@H]([13*])O[C@H]1C,12
[13*][C@H]1CC[C@H]([15*])[C@@H](C)O1,12
[1*]C(=O)C(CCC(N)=O)N[5*],11
[8*]CCCCN,11
[8*]CCCCCCCCCCCCCCC,11
[3*]O[C@@H]1[C@@H](O)[C@H](O[3*])[C@@H](N)C[C@H]1N,11
[15*][C@@H]1[C@@H](O)[C@H]([15*])[C@@H](N)C[C@H]1N,11
[3*]O[C@H]1[C@H](O)[C@@H]([15*])[C@H](N)C[C@@H]1N,11
[3*]O[C@@H]1[C@@H](O)[C@H]([15*])[C@@H](N)C[C@H]1N,11
[4*][C@@H](C[8*])[C@@H](C)C[7*],11
[13*][C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1[15*],11
[3*]O[C@H]1[C@H](O)[C@@H](O)[C@H](O)O[C@@H]1[13*],11
[1*]C(=O)[C@@H]([4*])CCCNO,11
[1*]C(=O)C(C)C,11
[1*]C(=O)[C@@H](CCC(N)=O)N[5*],11
[13*]C1OC([13*])C(O)C(O)C1O,11
[5*]NC1=C(O)CCC1=O,11
[8*]Cc1c(O)c(C)c(C)oc1=O,11
[16*]c1c(O)c(C)c(C)oc1=O,11
[3*]O[C@H]1[C@H](O)C[C@H]([13*])O[C@@H]1C,11
[3*]O[C@H]1C[C@@H]([15*])[C@H](O)[C@@H](C)O1,11
[5*]Nc1ccc([16*])cc1,11
[13*][C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,11
[3*]O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,11
[1*]C(=O)[C@@H](CC(N)=O)N[5*],11
[7*]C[C@H]([8*])C,11
[5*]NC(=C)C(N)=O,11
[4*]CCCN[5*],11
[14*]c1c[nH]cn1,11
[1*]C(=O)C(N[5*])C([4*])C,11
[14*]c1cc(O)c([16*])c(=O)o1,11
[8*]C[C@@H](C)O,11
[3*]OS(=O)(=O)[O-],11
[14*]c1cnc([14*])c(=O)[nH]1,11
[1*]C(=O)C[C@H](C)CC(=O)O,11
